variable,grupo,es_cruzada,coeficiente_BAJA,coeficiente_absoluto_BAJA,coeficiente_NEUTRAL,coeficiente_absoluto_NEUTRAL,coeficiente_SUBE,coeficiente_absoluto_SUBE,importancia_media_absoluta,importancia_maxima_absoluta
divergencia_rendimiento_60m,divergencia_rendimiento,True,0.01640726812183857,0.01640726812183857,0.044821519404649734,0.044821519404649734,-0.040441323071718216,0.040441323071718216,0.03389003686606884,0.044821519404649734
correlacion_btc_eth_60m,correlacion,True,0.0713517814874649,0.0713517814874649,-0.008732925169169903,0.008732925169169903,0.02033720724284649,0.02033720724284649,0.0334739712998271,0.0713517814874649
desviacion_media_cierre_240m,desviacion_media,False,0.01908208429813385,0.01908208429813385,0.0354355052113533,0.0354355052113533,-0.04581519588828087,0.04581519588828087,0.033444261799256005,0.04581519588828087
minuto_dia_seno,tiempo,False,-0.034962333738803864,0.034962333738803864,0.034117911010980606,0.034117911010980606,-0.027685465291142464,0.027685465291142464,0.032255236680308975,0.034962333738803864
rendimiento_240m,rendimiento_propio,False,0.05214164778590202,0.05214164778590202,-0.008494933135807514,0.008494933135807514,-0.035416096448898315,0.035416096448898315,0.03201755912353595,0.05214164778590202
otro_rendimiento_1m,rendimiento_otro,True,-0.008028371259570122,0.008028371259570122,-0.019997159019112587,0.019997159019112587,0.061421677470207214,0.061421677470207214,0.029815735916296642,0.061421677470207214
mecha_superior_relativa,forma_vela,False,-0.004667436704039574,0.004667436704039574,-0.04992470145225525,0.04992470145225525,0.02772674523293972,0.02772674523293972,0.027439627796411514,0.04992470145225525
volatilidad_5m,volatilidad_propia,False,0.014096330851316452,0.014096330851316452,-0.029346048831939697,0.029346048831939697,0.031133517622947693,0.031133517622947693,0.02485863243540128,0.031133517622947693
volumen_relativo_60m,volumen_relativo,False,-0.03495926037430763,0.03495926037430763,-0.021306926384568214,0.021306926384568214,0.016724828630685806,0.016724828630685806,0.024330338463187218,0.03495926037430763
otro_rendimiento_240m,rendimiento_otro,True,0.03668312355875969,0.03668312355875969,-0.02971183881163597,0.02971183881163597,-0.004359196871519089,0.004359196871519089,0.023584719747304916,0.03668312355875969
operaciones_relativas_5m,operaciones_relativas,False,-0.006036142818629742,0.006036142818629742,0.04862751439213753,0.04862751439213753,-0.01600736752152443,0.01600736752152443,0.023557008244097233,0.04862751439213753
rendimiento_1m,rendimiento_propio,False,0.0027478046249598265,0.0027478046249598265,-0.020127825438976288,0.020127825438976288,0.04522755742073059,0.04522755742073059,0.0227010624948889,0.04522755742073059
operaciones_relativas_60m,operaciones_relativas,False,-0.053321778774261475,0.053321778774261475,-0.0036537451669573784,0.0036537451669573784,0.010820710100233555,0.010820710100233555,0.022598744680484135,0.053321778774261475
mecha_inferior_relativa,forma_vela,False,0.013449020683765411,0.013449020683765411,-0.02498079650104046,0.02498079650104046,0.028370162472128868,0.028370162472128868,0.022266659885644913,0.028370162472128868
correlacion_btc_eth_1440m,correlacion,True,-0.014121657237410545,0.014121657237410545,-0.013700766488909721,0.013700766488909721,0.03454044833779335,0.03454044833779335,0.020787624021371204,0.03454044833779335
desviacion_media_cierre_30m,desviacion_media,False,0.035853173583745956,0.035853173583745956,0.014189735986292362,0.014189735986292362,-0.010105125606060028,0.010105125606060028,0.020049345058699448,0.035853173583745956
desviacion_media_cierre_15m,desviacion_media,False,0.013297422789037228,0.013297422789037228,0.02174239419400692,0.02174239419400692,-0.0226131659001112,0.0226131659001112,0.01921766096105178,0.0226131659001112
dia_semana_coseno,tiempo,False,0.01605251431465149,0.01605251431465149,-0.03049750067293644,0.03049750067293644,0.010608479380607605,0.010608479380607605,0.019052831456065178,0.03049750067293644
desviacion_media_cierre_60m,desviacion_media,False,0.013856355100870132,0.013856355100870132,-0.03162410855293274,0.03162410855293274,-0.008646044880151749,0.008646044880151749,0.018042169511318207,0.03162410855293274
zscore_divergencia_1440m,zscore_divergencia,True,-0.022969141602516174,0.022969141602516174,0.013630678877234459,0.013630678877234459,0.016967033967375755,0.016967033967375755,0.01785561814904213,0.022969141602516174
rendimiento_60m,rendimiento_propio,False,0.008096035569906235,0.008096035569906235,0.021693579852581024,0.021693579852581024,-0.01984628289937973,0.01984628289937973,0.01654529944062233,0.021693579852581024
volumen_relativo_30m,volumen_relativo,False,-0.007334319408982992,0.007334319408982992,0.008648598566651344,0.008648598566651344,-0.028830740600824356,0.028830740600824356,0.014937886192152897,0.028830740600824356
zscore_divergencia_240m,zscore_divergencia,True,0.0056327395141124725,0.0056327395141124725,-0.012919974513351917,0.012919974513351917,0.022535452619194984,0.022535452619194984,0.013696055548886458,0.022535452619194984
operaciones_relativas_15m,operaciones_relativas,False,0.002923615975305438,0.002923615975305438,0.007538095116615295,0.007538095116615295,-0.027460072189569473,0.027460072189569473,0.012640594427163402,0.027460072189569473
divergencia_rendimiento_15m,divergencia_rendimiento,True,-0.014175097458064556,0.014175097458064556,0.003454679623246193,0.003454679623246193,0.016095666214823723,0.016095666214823723,0.011241814432044825,0.016095666214823723
volumen_relativo_15m,volumen_relativo,False,0.012786898761987686,0.012786898761987686,-2.3868773496360518e-05,2.3868773496360518e-05,0.02005321905016899,0.02005321905016899,0.01095466219521768,0.02005321905016899
divergencia_rendimiento_1m,divergencia_rendimiento,True,0.01691407524049282,0.01691407524049282,-0.0074078296311199665,0.0074078296311199665,-0.007664275821298361,0.007664275821298361,0.010662060230970383,0.01691407524049282
desviacion_media_cierre_5m,desviacion_media,False,0.010163748636841774,0.010163748636841774,-0.005089351907372475,0.005089351907372475,0.010142088867723942,0.010142088867723942,0.00846506313731273,0.010163748636841774
divergencia_rendimiento_30m,divergencia_rendimiento,True,-0.009765518829226494,0.009765518829226494,0.009038370102643967,0.009038370102643967,-0.004229232668876648,0.004229232668876648,0.007677707200249036,0.009765518829226494
volumen_relativo_5m,volumen_relativo,False,0.006521001923829317,0.006521001923829317,-0.009160608984529972,0.009160608984529972,0.005851364694535732,0.005851364694535732,0.007177658534298341,0.009160608984529972
proporcion_compradora_base,presion_compradora,False,0.006501365918666124,0.006501365918666124,-0.001968058990314603,0.001968058990314603,0.008902153931558132,0.008902153931558132,0.00579052628017962,0.008902153931558132
rendimiento_30m,rendimiento_propio,False,-0.010314439423382282,0.010314439423382282,0.0052079432643949986,0.0052079432643949986,-0.0009903658647090197,0.0009903658647090197,0.005504249517495434,0.010314439423382282
rendimiento_15m,rendimiento_propio,False,-0.009962321259081364,0.009962321259081364,-0.00047880352940410376,0.00047880352940410376,0.00584891252219677,0.00584891252219677,0.005430012436894079,0.009962321259081364
otro_rendimiento_5m,rendimiento_otro,True,-0.009883491322398186,0.009883491322398186,-0.003590523963794112,0.003590523963794112,-0.0009685904369689524,0.0009685904369689524,0.004814201907720417,0.009883491322398186
proporcion_compradora_cotizacion,presion_compradora,False,-0.0009263879037462175,0.0009263879037462175,-0.0031225038692355156,0.0031225038692355156,0.007920012809336185,0.007920012809336185,0.0039896348607726395,0.007920012809336185
rendimiento_5m,rendimiento_propio,False,-0.0057113575749099255,0.0057113575749099255,-0.003797004697844386,0.003797004697844386,-0.0024096930865198374,0.0024096930865198374,0.00397268511975805,0.0057113575749099255
otro_rendimiento_15m,rendimiento_otro,True,-0.003160035004839301,0.003160035004839301,-0.0028789241332560778,0.0028789241332560778,-0.0032717168796807528,0.0032717168796807528,0.003103558672592044,0.0032717168796807528
divergencia_rendimiento_5m,divergencia_rendimiento,True,0.004193869419395924,0.004193869419395924,-0.0017528501339256763,0.0017528501339256763,-0.0031125193927437067,0.0031125193927437067,0.003019746315355102,0.004193869419395924
otro_rendimiento_30m,rendimiento_otro,True,-0.0065138074569404125,0.0065138074569404125,0.0005579292774200439,0.0005579292774200439,0.0015619647456333041,0.0015619647456333041,0.0028779004933312535,0.0065138074569404125
otro_rendimiento_60m,rendimiento_otro,True,-0.0008242159383371472,0.0008242159383371472,-0.0027898328844457865,0.0027898328844457865,0.002178077818825841,0.002178077818825841,0.0019307088805362582,0.0027898328844457865
