multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.25,1.0,1.05,0.4265239726027397,0.40712158187743214,0.3949671120380481,163541,274935,87124,31.115106544901067,52.3087899543379,16.576103500761036
1.45,1.0,1.2,0.4129052511415525,0.4065191325279321,0.394056278088952,232975,208581,84044,44.32553272450533,39.68436073059361,15.990106544901064
1.5,1.0,1.25,0.4091609589041096,0.40554962413165,0.3938219890667578,243744,193035,88821,46.37442922374429,36.72659817351598,16.898972602739725
1.7,1.0,1.5,0.39528538812785385,0.40045901847794396,0.39356648637522956,252381,138378,134841,48.01769406392694,26.327625570776252,25.654680365296805
1.4,1.0,1.15,0.416472602739726,0.40716195740815975,0.39353551424890904,221685,224708,79207,42.17751141552512,42.75266362252664,15.06982496194825
1.55,1.0,1.3,0.40487252663622525,0.40385071665540906,0.39245876526435847,253680,178444,93476,48.2648401826484,33.95053272450533,17.784627092846268
1.35,1.0,1.1,0.4195738203957382,0.40718217410076063,0.3919220914604151,209779,241540,74281,39.912290715372905,45.95509893455099,14.132610350076103
1.6,1.0,1.35,0.40106164383561643,0.402484469685894,0.39099165156231863,262846,164805,97949,50.00875190258752,31.355593607305938,18.635654490106546
1.3,1.0,1.05,0.42191590563165904,0.40630170738644394,0.38896223781911954,197180,259040,69380,37.515220700152206,49.28462709284627,13.200152207001523
1.65,1.0,1.4,0.39707191780821915,0.4008666538781496,0.3888181515727703,271423,151842,102335,51.64060121765601,28.889269406392692,19.470129375951295
1.4,1.0,1.4,0.41869482496194826,0.40562591386860863,0.38862875856169127,71452,203759,250389,13.594368340943683,38.76693302891933,47.638698630136986
1.45,1.0,1.45,0.4148649162861492,0.404360167634285,0.3884456030102333,77676,188848,259076,14.778538812785389,35.92998477929984,49.291476407914764
1.35,1.0,1.35,0.4222945205479452,0.4065289624368152,0.3876971827772353,64969,219363,241268,12.36092085235921,41.73573059360731,45.903348554033485
1.5,1.0,1.5,0.41043759512937594,0.4024305883099129,0.3870053673490165,83979,174306,267315,15.977739726027398,33.16324200913242,50.85901826484018
1.7,1.0,1.45,0.3927682648401826,0.39888330045651105,0.38587876320953374,279519,139323,106758,53.18093607305936,26.507420091324203,20.31164383561644
1.3,1.0,1.3,0.42586567732115677,0.4073101062103519,0.38582830265328677,58356,235337,231907,11.102739726027396,44.77492389649924,44.12233637747337
1.25,1.0,1.0,0.4237747336377473,0.405003307907888,0.3850051994055454,184556,276587,64457,35.11339421613394,52.62309741248098,12.263508371385083
1.5,1.0,1.2,0.40713470319634704,0.40429323841634734,0.3837316516570278,264229,193716,67655,50.2718797564688,36.85616438356165,12.871955859969558
1.45,1.0,1.15,0.41073059360730596,0.40508522594064705,0.3835751923654651,252828,209317,63455,48.1027397260274,39.82439117199391,12.072869101978691
1.25,1.0,1.25,0.4289193302891933,0.40766354940116284,0.3832193060794215,52286,251517,221797,9.947869101978691,47.8533105022831,42.1988203957382
1.4,1.0,1.1,0.4140962709284627,0.40548076147666773,0.38255766873107094,240910,225507,59183,45.835235920852355,42.904680365296805,11.260083713850836
1.55,1.0,1.25,0.40269596651445966,0.4024598489005011,0.38245929102664245,274759,179106,71735,52.275304414003045,34.07648401826484,13.648211567732115
1.75,1.0,1.5,0.3883504566210046,0.3967911318967354,0.38229099839858033,287481,127018,111101,54.69577625570776,24.16628614916286,21.137937595129376
1.6,1.0,1.3,0.3988356164383562,0.40105711362908175,0.3812261941829997,284359,165372,75869,54.10178843226788,31.463470319634702,14.434741248097414
1.35,1.0,1.05,0.41706240487062407,0.4053195760908696,0.38061455982277237,228405,242323,54872,43.4560502283105,46.104071537290714,10.439878234398781
1.65,1.0,1.35,0.39476217656012175,0.3993414021265518,0.3792682394050684,293267,152404,79929,55.79661339421613,28.996194824961947,15.207191780821919
1.3,1.0,1.0,0.41931126331811264,0.40430446847824153,0.37743685239597674,215071,259882,50647,40.9191400304414,49.44482496194825,9.63603500761035
1.7,1.0,1.4,0.3903386605783866,0.39727579537988894,0.37640816064052357,301928,139847,83825,57.44444444444444,26.607115677321158,15.9484398782344
1.75,1.0,1.45,0.38588470319634705,0.3951572407801333,0.3730345703732549,310367,127502,87731,59.05003805175038,24.258371385083713,16.691590563165907
1.75,1.0,1.75,0.3895148401826484,0.39209678736312353,0.3727870958559378,111250,114451,299899,21.16628614916286,21.775304414003045,57.05840943683409
1.5,1.0,1.15,0.40477739726027395,0.40255009121593566,0.3722389507565252,280778,194094,50728,53.42047184170472,36.92808219178082,9.65144596651446
1.45,1.0,1.1,0.4082857686453577,0.40322073697178523,0.37190381239845366,268736,209698,47166,51.12937595129375,39.89687975646879,8.973744292237443
1.55,1.0,1.2,0.4006012176560122,0.4010241193531053,0.3714631881063577,291788,179433,54379,55.51522070015221,34.138698630136986,10.346080669710807
