multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.3,1.0,1.35,0.5625304414003044,0.4110753262456006,0.39108894974004954,24040,372973,128587,4.573820395738204,70.96137747336377,24.464802130898022
1.2,1.0,1.15,0.5750437595129376,0.399857389912406,0.390953754003635,41259,408802,75539,7.849885844748858,77.77815829528159,14.37195585996956
2.25,1.0,2.0,0.42871385083713853,0.4129885278782393,0.3889983964968227,238134,189654,97812,45.30707762557078,36.083333333333336,18.60958904109589
1.2,1.0,1.05,0.5766723744292237,0.39734288147722835,0.38870508544186083,64346,416514,44740,12.242389649923895,79.24543378995433,8.512176560121766
1.25,1.0,1.05,0.5727701674277017,0.399205127647886,0.3886352483215488,80453,408891,36256,15.306887366818875,77.79509132420091,6.898021308980214
1.4,1.0,1.1,0.559189497716895,0.40707805037769446,0.3886246672675251,120502,379577,25521,22.9265601217656,72.21784627092846,4.855593607305936
1.2,1.0,1.2,0.5737366818873668,0.40242005122454927,0.38846840777759245,29559,402650,93391,5.623858447488585,76.60768645357686,17.768455098934552
1.4,1.0,1.5,0.5465905631659056,0.4182195845276573,0.38832906627805636,19024,339423,167153,3.619482496194825,64.57819634703196,31.80232115677321
1.5,1.0,1.15,0.54845700152207,0.41295139976226874,0.38828865873183366,146279,357041,22280,27.830859969558603,67.93017503805176,4.238964992389651
1.3,1.0,1.05,0.5686510654490107,0.40170898999614346,0.38726627778951556,96626,399952,29022,18.383942161339423,76.09436834094369,5.5216894977168955
1.25,1.0,1.3,0.5669539573820396,0.4078682292737171,0.38720666900957673,21543,384102,119955,4.098744292237442,73.07876712328766,22.822488584474886
1.35,1.0,1.45,0.5532020547945206,0.4164361687671782,0.3870155619198443,17133,351464,157003,3.2597031963470324,66.86910197869102,29.87119482496195
1.15,1.0,1.1,0.5784151445966514,0.39658233676383503,0.3853147441687121,37300,418431,69869,7.096651445966515,79.6101598173516,13.293188736681888
1.15,1.0,1.05,0.5792636986301369,0.39493385095195466,0.3852997761431866,48425,422797,54378,9.2132800608828,80.4408295281583,10.345890410958903
1.45,1.0,1.1,0.5538622526636225,0.40985898675878124,0.3851417984618615,136524,368767,20309,25.974885844748858,70.16114916286149,3.8639649923896497
1.3,1.0,1.4,0.5591780821917808,0.41419172591355924,0.3848976671460169,15324,363141,147135,2.915525114155251,69.09075342465754,27.993721461187214
1.35,1.0,1.05,0.5640924657534246,0.40410912283365397,0.384782521116992,111854,390530,23216,21.281202435312025,74.3017503805175,4.417047184170472
1.2,1.0,1.25,0.5714535768645358,0.4051464735878001,0.3836324601363941,19316,394709,111575,3.6750380517503802,75.09684170471841,21.2281202435312
1.15,1.0,1.15,0.5774600456621004,0.3994192352678778,0.3836120787285405,26541,412520,86539,5.049657534246575,78.48554033485541,16.464802130898022
1.2,1.0,1.0,0.5764231354642314,0.39602097196279845,0.38325885855184766,73966,418583,33051,14.072678843226788,79.63907914764079,6.2882420091324205
1.15,1.0,1.0,0.5795738203957382,0.3937374091851731,0.3825190352932284,58867,425826,40907,11.19996194824962,81.01712328767124,7.782914764079147
1.25,1.0,1.0,0.5721993911719939,0.3978916242664206,0.38172432551629987,88902,410276,26422,16.914383561643838,78.058599695586,5.027016742770168
1.25,1.0,1.35,0.5638413242009133,0.4108901661581999,0.38171597621037723,13600,374562,137438,2.5875190258751903,71.26369863013699,26.148782343987826
1.4,1.0,1.05,0.5589060121765601,0.4065862850141833,0.3813734224929915,127109,380195,18296,24.183599695585997,72.33542617960426,3.4809741248097414
1.5,1.0,1.1,0.5481525875190258,0.41254065727834605,0.38131047874500096,152022,357462,16116,28.92351598173516,68.01027397260275,3.0662100456621006
1.3,1.0,1.0,0.5682286910197869,0.40091608913949783,0.38021438919543965,103834,400888,20878,19.755327245053273,76.2724505327245,3.9722222222222223
1.35,1.0,1.5,0.5473363774733637,0.4178536238598773,0.37970407270648215,10904,340386,174310,2.0745814307458144,64.76141552511415,33.16400304414003
1.15,1.0,1.2,0.5754261796042618,0.4021394900618854,0.37948839805450735,17204,405013,103383,3.273211567732116,77.05726788432268,19.669520547945204
1.1,1.0,1.05,0.5813831811263318,0.3933098622085353,0.3794579843342058,33776,427435,64389,6.4261796042617965,81.3232496194825,12.250570776255708
1.1,1.0,1.0,0.5818968797564688,0.3915025540762282,0.37910670574760524,44135,431601,49864,8.3970700152207,82.11586757990868,9.487062404870624
1.3,1.0,1.45,0.5537119482496194,0.41584337635268637,0.3785574772864198,9741,352404,163455,1.8533105022831051,67.04794520547945,31.09874429223744
1.2,1.0,1.3,0.5680498477929985,0.4076908160607204,0.3785385182099917,12143,385451,128006,2.3103120243531206,73.33542617960426,24.354261796042618
1.1,1.0,1.1,0.5805479452054795,0.3962078246569642,0.37830400761082844,23803,421805,79992,4.528729071537291,80.25209284627093,15.219178082191782
1.45,1.0,1.05,0.5535692541856926,0.4094422863926109,0.3782531686273449,142031,369189,14380,27.02264079147641,70.2414383561644,2.7359208523592087
1.35,1.0,1.0,0.563527397260274,0.4032628805191427,0.37733025845331447,118050,391123,16427,22.460045662100455,74.41457382039573,3.125380517503805
