version,fecha_utc,objetivo,grupo_objetivo,variante,grupo_variante,tipo_modelo,variables,pliegue,umbral,coste,filas_validacion,negativos_entrenamiento,positivos_entrenamiento,prevalencia,pr_auc,pr_auc_lift,roc_auc,precision,porcentaje_acierto,recall,f1,tn,fp,fn,tp,operaciones,precision_operaciones,porcentaje_acierto_operaciones,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,concentracion_mensual_maxima
baja_v1_short,2026-07-05T18:28:48.341669+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.39,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2668908744101997,26.68908744101997,0.1311544153922052,0.175879064536403,410910,29210,70446,10634,702,0.2079772079772079,20.7977207977208,42.45014245014245,-0.0024233629103652,-0.0013325305733596,0.5916300870143644,-0.8349845790008894,-0.8312926469544375,480.0,0.2026515814050448
baja_v1_short,2026-07-05T18:28:48.543537+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.4,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.269446745834484,26.944674583448403,0.10830044400592,0.1545012272475345,416312,23808,72299,8781,676,0.1997041420118343,19.97041420118343,40.680473372781066,-0.0026272993329857,-0.0013528136148815,0.5711115676589575,-0.8455462673801128,-0.8432567771592596,480.0,0.1802550581683961
baja_v1_short,2026-07-05T18:28:48.742680+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.41,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2732430112342776,27.32430112342776,0.0902935372471633,0.1357336868354453,420648,19472,73759,7321,658,0.2203647416413373,22.036474164133736,42.5531914893617,-0.0024572876390841,-0.0012679291574168,0.5976627615753646,-0.8185950552607456,-0.8159060632891688,480.0,0.2020200613972367
baja_v1_short,2026-07-05T18:28:48.937958+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.42,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2780573277023991,27.80573277023992,0.0763320177602368,0.119781687278639,424051,16069,74891,6189,637,0.2213500784929356,22.135007849293565,40.81632653061224,-0.0027252246412024,-0.0013539117460604,0.5629621886230479,-0.8386983489286027,-0.8361931186850529,480.0,0.2118405099895144
baja_v1_short,2026-07-05T18:28:49.094293+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.43,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2826132994493858,28.261329944938584,0.0658362111494819,0.1067941741357234,426570,13550,75742,5338,616,0.2191558441558441,21.915584415584416,40.58441558441558,-0.0028469536708888,-0.0015638534785248,0.5450717639500293,-0.8408301146446474,-0.8384002801721313,480.0,0.1877346100487982
baja_v1_short,2026-07-05T18:28:49.276863+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.44,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.284407096171802,28.440709617180204,0.0563517513566847,0.0940655720829687,428624,11496,76511,4569,593,0.2158516020236087,21.585160202360875,40.472175379426645,-0.0028788814183149,-0.0015914304638281,0.5440694375089457,-0.8319081385916235,-0.8304723363572711,480.0,0.192871981594609
baja_v1_short,2026-07-05T18:28:49.478948+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.45,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2892039258451472,28.92039258451472,0.0490626541687222,0.0838930774503084,430343,9777,77102,3978,578,0.2231833910034602,22.318339100346023,41.17647058823529,-0.0027798395034289,-0.0015722917558159,0.5681457616578419,-0.8137493655978993,-0.8130961693270575,480.0,0.1752635371486073
baja_v1_short,2026-07-05T18:28:49.671262+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.46,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2919586252919586,29.195862529195864,0.0431672422298964,0.0752138221515451,431632,8488,77580,3500,559,0.2307692307692307,23.07692307692308,41.86046511627907,-0.0027997851321822,-0.0014858937172684,0.5698830064837405,-0.8095506787534532,-0.8048025754212581,480.0,0.1734598311100904
baja_v1_short,2026-07-05T18:28:49.853211+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.47,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.2967619047619048,29.67619047619048,0.0384311790823877,0.0680497925311203,432736,7384,77964,3116,542,0.2472324723247232,24.723247232472325,42.80442804428044,-0.0027142464361029,-0.0012809408033499,0.5838169325259136,-0.7945287547864575,-0.7856889180159342,480.0,0.1693259929739379
baja_v1_short,2026-07-05T18:28:50.012073+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.48,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3028329534353631,30.28329534353631,0.0344104588061174,0.0617988105390229,433697,6423,78290,2790,525,0.2457142857142857,24.571428571428573,41.90476190476191,-0.0025213170874388,-0.0013517154837027,0.6093295391116252,-0.7590017901478955,-0.7511888610073651,480.0,0.1852872727314582
baja_v1_short,2026-07-05T18:28:50.167806+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.49,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3066944070493207,30.66944070493208,0.0309077454366058,0.0561562335436017,434455,5665,78574,2506,505,0.2455445544554455,24.554455445544555,42.57425742574257,-0.0025093810445106,-0.0013045188786927,0.6113749718589134,-0.7443616301296588,-0.7363985594410855,480.0,0.1823191782515204
baja_v1_short,2026-07-05T18:28:50.362767+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.5,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3075030750307503,30.75030750307503,0.0277503700049334,0.0509067049786757,435053,5067,78830,2250,487,0.2464065708418891,24.64065708418891,43.1211498973306,-0.0023337026672306,-0.0012265146904392,0.6378292265785386,-0.7048051892219402,-0.6996042734218075,480.0,0.1669153830460942
baja_v1_short,2026-07-05T18:28:50.557228+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.51,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3061746987951807,30.617469879518072,0.0250740009866798,0.0463520291837665,435513,4607,79047,2033,479,0.2505219206680584,25.052192066805844,42.58872651356994,-0.0023955072019013,-0.001306896661641,0.627905979509492,-0.710003149466322,-0.7021307471845581,480.0,0.1618732302255569
baja_v1_short,2026-07-05T18:28:50.750185+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.52,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3067310896367877,30.67310896367877,0.0227059694129255,0.0422819870926253,435959,4161,79239,1841,465,0.2516129032258064,25.161290322580644,42.1505376344086,-0.0024592249685524,-0.001410158856539,0.6212852047234294,-0.7033985720352243,-0.7005801724189291,480.0,0.1629293580565187
baja_v1_short,2026-07-05T18:28:50.948188+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.53,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3076782114715045,30.76782114715045,0.0207079427725703,0.0388042109155621,436342,3778,79401,1679,451,0.2616407982261641,26.164079822616408,43.68070953436807,-0.0023090827905036,-0.0011416494342265,0.6437589172216689,-0.6666574528509734,-0.6682433443296116,480.0,0.1871516596595814
baja_v1_short,2026-07-05T18:28:51.110001+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.54,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3100162206001622,31.00162206001622,0.0188579181055747,0.0355531786262382,436717,3403,79551,1529,436,0.2591743119266055,25.91743119266055,44.03669724770643,-0.0022578448571847,-0.0010831497745821,0.6435091100206084,-0.6468285512477443,-0.6469495662054453,480.0,0.1924536653930827
baja_v1_short,2026-07-05T18:28:51.327780+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.55,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.3106731620903454,31.067316209034544,0.0173038973852984,0.0327819056965278,437007,3113,79677,1403,418,0.2703349282296651,27.033492822966508,44.49760765550239,-0.0020584902633231,-0.0010831497745821,0.6726705439335059,-0.5994716094040473,-0.5996088513198852,480.0,0.1778908619390101
