rejilla_minutos,variante,semilla,margen_ev,aprobada_dos_pliegues,operaciones_2023,operaciones_2024,precision_tp_2023,porcentaje_acierto_tp_2023,precision_tp_2024,porcentaje_acierto_tp_2024,retorno_neto_medio_2023,retorno_neto_medio_2024,retorno_neto_mediano_2023,retorno_neto_mediano_2024,factor_beneficio_2023,factor_beneficio_2024,drawdown_2023,drawdown_2024,concentracion_2023,concentracion_2024,retorno_medio_promedio,peor_retorno_medio,peor_pf
30,macro_vix,42,0.00025,False,1045,1301,0.2270773638968481,22.70773638968481,0.2774427020506634,27.744270205066343,-0.0007643670532295,-0.0009669518950057,-0.0059999998882412,-0.0059999998882412,0.7770345069835638,0.7432811980301379,-0.5644721846408999,-0.7365862848973022,0.1243795691174846,0.1092966575156639,-0.0008656594741176,-0.0009669518950057,0.7432811980301379
30,macro_completo,42,0.0,False,656,1287,0.271047227926078,27.10472279260781,0.2766143106457243,27.66143106457243,-0.0004475671098881,-0.0009692655856366,-0.0059999998882412,-0.0059999998882412,0.8638455431648799,0.7413913327774969,-0.3142409231724473,-0.7308652734316159,0.1546647214794295,0.1132765253788826,-0.00070841634776235,-0.0009692655856366,0.7413913327774969
15,control_63_eventos,42,0.0,False,1567,1434,0.2489403786380333,24.894037863803334,0.2916328188464663,29.16328188464663,-0.0009721350417311,-0.0007242672571996,-0.0059999998882412,-0.0059999998882412,0.7219641374144873,0.803395132242887,-0.7930055575111967,-0.6764736084481533,0.1406744131785834,0.1053076361933241,-0.00084820114946535,-0.0009721350417311,0.7219641374144873
30,macro_vix,42,0.0,False,1199,1608,0.2270773638968481,22.70773638968481,0.2774427020506634,27.744270205066343,-0.0007385320591234,-0.0009753488036821,-0.0059999998882412,-0.0059999998882412,0.7835530214019376,0.7425040564362219,-0.5996528413402225,-0.8068830601288297,0.1308591134623898,0.1076182580534289,-0.00085694043140275,-0.0009753488036821,0.7425040564362219
10,macro_nasdaq100,42,0.001,False,755,879,0.2320403947670415,23.20403947670416,0.3022138680033417,30.221386800334173,-0.0009760696931542,-0.0008737505325344,-0.0059999998882412,-0.0059999998882412,0.7175017582657254,0.766659568488218,-0.5368632888614652,-0.5738758120868686,0.1270716033393011,0.1363331206438016,-0.0009249101128443,-0.0009760696931542,0.7175017582657254
5,macro_nasdaq100,42,0.00025,False,1064,1711,0.2352852171281585,23.528521712815856,0.2789057490916862,27.890574909168624,-0.0009767687192438,-0.0009049957643406,-0.0059999998882412,-0.0059999998882412,0.7244662283671999,0.7617244459330543,-0.6736073939545937,-0.8013198143105464,0.1256111313293481,0.1224459104114501,-0.0009408822417922001,-0.0009767687192438,0.7244662283671999
30,macro_dolar,42,0.0005,False,952,1055,0.2250196695515342,22.50196695515342,0.2685393258426966,26.853932584269664,-0.000978194829647,-0.0008476839676897,-0.0059999998882412,-0.0059999998882412,0.7222307398663883,0.7721159738757283,-0.6190726726202052,-0.6367177548366016,0.128113240945095,0.1139975838058711,-0.0009129393986683499,-0.000978194829647,0.7222307398663883
10,macro_completo,42,0.00025,False,1231,1142,0.2304761904761904,23.047619047619047,0.2816041848299913,28.160418482999127,-0.0009874625304794,-0.0008406253343523,-0.0059999998882412,-0.0059999998882412,0.7222518462872288,0.7698316429739361,-0.7220725849666718,-0.6346488529973509,0.1353743314145592,0.1416735795437515,-0.00091404393241585,-0.0009874625304794,0.7222518462872288
10,macro_nasdaq100,42,0.0005,False,924,1304,0.2320403947670415,23.20403947670416,0.3022138680033417,30.221386800334173,-0.0008729254214543,-0.0009895130952558,-0.0059999998882412,-0.0059999998882412,0.7452003374174474,0.7405213329795184,-0.5681375527594159,-0.7502312290111595,0.122216707768316,0.120747462265786,-0.0009312192583550501,-0.0009895130952558,0.7405213329795184
10,macro_reservas_fed,42,0.0,False,1594,1774,0.2251746336118339,22.5174633611834,0.2906137184115523,29.06137184115524,-0.0009746410452538,-0.0009924773203345,-0.0059999998882412,-0.0059999998882412,0.7280891865662272,0.7399790758530512,-0.8059641710917131,-0.8416480924591555,0.1334505749779452,0.1053431068178199,-0.00098355918279415,-0.0009924773203345,0.7280891865662272
5,control_63_eventos,42,0.0005,False,1402,1049,0.24128545087365,24.128545087365,0.2779329608938548,27.79329608938548,-0.0010001032001607,-0.0009037729014252,-0.0059999998882412,-0.0059999998882412,0.7177611009040881,0.7572644695088713,-0.7613414140067541,-0.6405947065769566,0.1141296660137454,0.130571680975416,-0.00095193805079295,-0.0010001032001607,0.7177611009040881
10,macro_dolar,42,0.0,False,1534,1728,0.2344972333524136,23.44972333524137,0.2701582516955539,27.01582516955539,-0.0010043638481625,-0.0008817151720621,-0.0059999998882412,-0.0059999998882412,0.7236377038909686,0.7649328283237706,-0.7998713879266859,-0.8006314587352398,0.138323924461188,0.1077602466381573,-0.0009430395101123,-0.0010043638481625,0.7236377038909686
5,macro_nasdaq100,42,0.0,False,1162,2076,0.2352852171281585,23.528521712815856,0.2789057490916862,27.890574909168624,-0.0009849003371143,-0.0010108957302316,-0.0059999998882412,-0.0059999998882412,0.7246808220539687,0.737301732758589,-0.7034566354407652,-0.8848309291034415,0.1218493720808319,0.1161090672243575,-0.00099789803367295,-0.0010108957302316,0.7246808220539687
15,macro_rendimiento_real,42,0.00025,False,1469,1214,0.2313564298297122,23.135642982971227,0.2746403835908364,27.46403835908364,-0.0009103811095188,-0.0010173944088637,-0.0059999998882412,-0.0059999998882412,0.7434744927426424,0.7279863493195576,-0.7542028360705559,-0.7330047389660517,0.1799246936867058,0.1211183314433633,-0.0009638877591912501,-0.0010173944088637,0.7279863493195576
