objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
corto_tp070_sl035_240m,sgd_101_moderado,0.81,1,-0.0001686586722997,-0.0045000001080334,0.9344105179025024,-0.0223907069253135,42.85714285714285,0.0,0.2406606673297599,1.1490856070573323,1.0,False
baja_cierre_4h,histgb_63_moderado,0.79,2,-0.0002126177530735,-0.0002126177530735,0.8908294356043582,-0.0159939901274158,50.0,0.3636363636363636,0.2352851491426881,1.3038575879510876,0.5288684326412414,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.09,8,-0.0002573683610482,-0.0011040730567183,0.8818739645801522,-0.0145285764881174,36.36363636363637,0.2727272727272727,0.2534349875428584,1.1928374949472378,0.5981457338063704,False
corto_tp070_sl035_240m,histgb_101_moderado,0.85,1,-0.0002757267900742,-0.0013014536341652,0.8774547629089917,-0.0089797502150945,50.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.66,1,-0.0002999999783933,-0.0045000001080334,0.888888899558856,-0.01343934144619,40.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.85,0,-0.0002999999783933,-0.0045000001080334,0.0,-0.0089797502150946,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.8,0,-0.0002999999783933,-0.0045000001080334,0.0,-0.01343934144619,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.81,0,-0.0002999999783933,-0.0045000001080334,0.0,-0.01343934144619,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.82,0,-0.0002999999783933,-0.0045000001080334,0.0,-0.01343934144619,0.0,0.0,0.2349982432323634,1.1220491573392843,1.0,False
corto_tp070_sl035_240m,sgd_101_moderado,0.74,1,-0.0004688149371151,-0.0045000001080334,0.0,-0.036501842477023,0.0,0.0,0.2406606673297599,1.1490856070573323,1.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.8,2,-0.0004733656203607,-0.0004733656203607,0.0,-0.0222984097320423,0.0,0.0,0.2546630584100841,1.177292561863839,1.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.79,3,-0.0004899729596606,-0.0005231876382604,0.0,-0.01343934144619,0.0,0.0,0.2546630584100841,1.177292561863839,0.6440704002503757,False
baja_cierre_4h,histgb_63_moderado,0.76,4,-0.0005811441913247,-0.0002675296962261,0.872634151821202,-0.0724295145529171,50.0,0.25,0.2352851491426881,1.3038575879510876,0.5237621603897717,False
corto_tp070_sl035_240m,sgd_101_moderado,0.76,1,-0.0005936100086611,-0.0045000001080334,0.7891884376915609,-0.0491680751395923,37.03703703703704,0.0,0.2406606673297599,1.1490856070573323,1.0,False
baja_cierre_4h,histgb_63_moderado,0.78,3,-0.000663893196087,0.0012012284025549,0.9017831767978226,-0.0627738134622361,53.84615384615385,0.3076923076923077,0.2352851491426881,1.3038575879510876,0.5552885684668637,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.72,3,-0.0007021276503801,-0.0045000001080334,0.7555555646250275,-0.0485808098818382,36.17021276595745,0.3333333333333333,0.2534349875428584,1.1928374949472378,0.640904993159514,False
corto_tp070_sl035_240m,histgb_63_moderado,0.57,217,-0.0007266216968317,-0.0045000001080334,0.722897267961072,-0.2235679739421932,38.24884792626728,0.2402402402402402,0.2546630584100841,1.177292561863839,0.2781380707616981,False
corto_tp070_sl035_240m,histgb_63_moderado,0.82,1,-0.0007316578810568,-0.0007316578810568,0.0,-0.01343934144619,0.0,0.0,0.2546630584100841,1.177292561863839,1.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.81,1,-0.0007316578810568,-0.0007316578810568,0.0,-0.0178788645162635,0.0,0.0,0.2546630584100841,1.177292561863839,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.51,733,-0.0007460915047354,-0.0045000001080334,0.7288266401886251,-0.4796190669053284,36.56207366984993,0.2861952861952861,0.2686801098646919,1.1834678990494,0.2387888215265418,False
corto_tp070_sl035_240m,sgd_101_moderado,0.82,0,-0.0007469704430841,-0.0045000001080334,0.0,-0.0354380752361364,0.0,0.0,0.2406606673297599,1.1490856070573323,0.3760125776028727,False
corto_tp070_sl035_240m,histgb_63_moderado,0.56,246,-0.0007566714184772,-0.0045000001080334,0.6912163866971741,-0.2689679221610378,38.24289405684754,0.2403100775193798,0.2546630584100841,1.177292561863839,0.2643399774190132,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.12,23,-0.0007652968981445,-0.0013323967393953,0.6213627809430949,-0.0252486592330185,39.130434782608695,0.1304347826086956,0.2534349875428584,1.1928374949472378,0.4212980047329877,False
corto_tp070_sl035_240m,histgb_101_moderado,0.55,298,-0.0007664735755212,-0.0045000001080334,0.7172032098310608,-0.3513736419755365,36.91275167785235,0.2832244008714596,0.2686801098646919,1.1834678990494,0.2197189134098734,False
baja_cierre_4h,control_v4_63_moderado,0.13,13,-0.0007794325511746,-0.0014735901602543,0.0891930196491845,-0.0367191023946733,23.809523809523807,0.0,0.2281181756111706,1.2833197447562892,0.6182201418007336,False
corto_tp070_sl035_240m,histgb_63_moderado,0.55,293,-0.0007878740739452,-0.0045000001080334,0.6813151091300614,-0.3240323454099879,37.20136518771331,0.24375,0.2546630584100841,1.177292561863839,0.2333554594616484,False
corto_tp070_sl035_240m,histgb_101_moderado,0.54,354,-0.0007935913908784,-0.0045000001080334,0.7138987864235178,-0.3694925324248546,36.440677966101696,0.2865064695009242,0.2686801098646919,1.1834678990494,0.2306970779569389,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.54,30,-0.0008181818125696,-0.0045000001080334,0.7200000086426733,-0.3135179702716684,35.064935064935064,0.3506493506493506,0.2534349875428584,1.1928374949472378,0.3700587433652728,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.58,1,-0.0008257393571769,-0.0045000001080334,0.7077793696600748,-0.0203326777468748,33.33333333333333,0.0,0.2349982432323634,1.1220491573392843,1.0,False
baja_cierre_4h,control_v4_63_moderado,0.1,2,-0.0008275143443606,-0.0024442202518694,0.004592743971551,-0.0048824728630949,25.0,0.0,0.2281181756111706,1.2833197447562892,0.9954282528924168,False
corto_tp070_sl035_240m,histgb_63_moderado,0.59,175,-0.0008344641153276,-0.0045000001080334,0.6946704403931613,-0.185162433115142,35.42857142857142,0.2480314960629921,0.2546630584100841,1.177292561863839,0.2211731700059641,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.53,44,-0.0008369457488562,-0.0045000001080334,0.6841378896725838,-0.2971549513318561,31.818181818181817,0.2954545454545454,0.2534349875428584,1.1928374949472378,0.3995261295594963,False
corto_tp070_sl035_240m,histgb_101_moderado,0.47,1665,-0.0008446441058766,-0.0045000001080334,0.700586368984065,-0.8750508651390838,35.35228677379481,0.2942942942942942,0.2686801098646919,1.1834678990494,0.2047931943339302,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.73,3,-0.0008478260822594,-0.0045000001080334,0.7111111196470847,-0.0472693176891888,34.78260869565217,0.3333333333333333,0.2534349875428584,1.1928374949472378,0.5666666705078548,False
corto_tp070_sl035_240m,histgb_101_moderado,0.45,2148,-0.000849146939256,-0.0045000001080334,0.689180217106365,-0.9490298880355458,35.277219189887965,0.2956238361266294,0.2686801098646919,1.1834678990494,0.2196378895718937,False
corto_tp070_sl035_240m,histgb_101_moderado,0.48,1441,-0.0008524960767452,-0.0045000001080334,0.6922614714215664,-0.7975145412170377,35.104052573932094,0.2886884108258154,0.2686801098646919,1.1834678990494,0.1919237397646046,False
corto_tp070_sl035_240m,histgb_101_moderado,0.53,431,-0.0008526059289593,-0.0045000001080334,0.676651504849844,-0.4284872308195282,35.569422776911075,0.2745709828393136,0.2686801098646919,1.1834678990494,0.1969018424003718,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.31,1577,-0.0008526986445209,-0.0045000001080334,0.6829268780936111,-0.8639459258044897,34.8715716151502,0.2859860494610019,0.2349982432323634,1.1220491573392843,0.177235062733527,False
corto_tp070_sl035_240m,histgb_63_moderado,0.6,159,-0.0008577248283849,-0.0045000001080334,0.6854654295731645,-0.1679085481748652,35.22012578616352,0.2577777777777778,0.2546630584100841,1.177292561863839,0.2713308688628117,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.63,7,-0.0008588623878146,-0.0045000001080334,0.6662211683391543,-0.1248773421036416,28.57142857142857,0.2857142857142857,0.2534349875428584,1.1928374949472378,0.500669601890407,False
corto_tp070_sl035_240m,histgb_101_moderado,0.56,241,-0.0008629095191181,-0.0045000001080334,0.6713975041549041,-0.3296857378751798,35.064935064935064,0.2623376623376623,0.2686801098646919,1.1834678990494,0.2622176542246304,False
