variante,base,variable_macro,pliegue,umbral,es_umbral_base,operaciones,precision,porcentaje_acierto,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto
v41_vix,v41,impulso_vix_20s,validacion_2023,0.42,False,97,0.44329896907216493,44.329896907216494,64.94845360824742,0.005329118991934347,0.004773602625491536,2.0127583247210503,-0.08814161089786687,0.6347121469914048
v41_vix,v41,impulso_vix_20s,validacion_2023,0.44,True,71,0.5070422535211268,50.70422535211267,63.38028169014085,0.004321617935509865,0.00442879659392459,1.638538319503835,-0.09679039111957788,0.3287015220453726
v41_vix,v41,impulso_vix_20s,validacion_2023,0.46,False,57,0.5263157894736842,52.63157894736842,57.89473684210527,0.002735683817454176,0.00442879659392459,1.326760902012365,-0.1098128587625079,0.14566413826576752
v41_vix,v41,impulso_vix_20s,validacion_2023,0.48,False,49,0.5510204081632653,55.10204081632652,67.3469387755102,0.004874168611929615,0.010675536184517997,1.665786134975889,-0.09463030493670566,0.24838618150826597
v41_vix,v41,impulso_vix_20s,validacion_2023,0.5,False,41,0.5121951219512195,51.21951219512195,60.97560975609756,0.002596871293909308,0.011236527459665635,1.2909418044035728,-0.13747016449464644,0.0961586119643496
v41_vix,v41,impulso_vix_20s,validacion_2024,0.4,False,154,0.4090909090909091,40.909090909090914,55.84415584415584,0.0022358869897148945,0.0026910251055756182,1.263903645804249,-0.16926320295177966,0.3454140393447296
v41_vix,v41,impulso_vix_20s,validacion_2024,0.42,False,138,0.5289855072463768,52.89855072463768,61.59420289855072,0.004456190605117999,0.004480120401746502,1.6087844427654503,-0.10354108166673892,0.7766991551629925
v41_vix,v41,impulso_vix_20s,validacion_2024,0.44,True,117,0.49572649572649574,49.572649572649574,59.82905982905983,0.0033638852636488567,0.005345965346633564,1.4399102960996815,-0.12517666938600402,0.4336157559605611
v41_vix,v41,impulso_vix_20s,validacion_2024,0.46,False,99,0.5555555555555556,55.55555555555556,59.59595959595959,0.002954542364007583,0.007226737842447207,1.3679807210284616,-0.1794912636012499,0.3011359607480659
v41_vix,v41,impulso_vix_20s,validacion_2024,0.48,False,86,0.5348837209302325,53.48837209302325,56.97674418604651,0.002373477886969686,0.004958988804342091,1.2805848544731275,-0.1524682329842285,0.19619081753516898
v41_vix,v41,impulso_vix_20s,validacion_2024,0.5,False,78,0.5128205128205128,51.28205128205128,53.84615384615385,0.0026726988228632184,0.0035535451829067375,1.3044739684766398,-0.19170576050632204,0.20046504857836678
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.4,False,128,0.453125,45.3125,60.9375,0.004203552642327368,0.004077394005527203,1.7895502144279716,-0.09922250346388717,0.6602366588362543
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.42,False,98,0.46938775510204084,46.93877551020408,62.244897959183675,0.005099617783189177,0.004292559424807219,1.924246050176428,-0.11048791640145394,0.6045227401847593
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.44,True,79,0.4810126582278481,48.10126582278481,64.55696202531645,0.004431383131846828,0.006011188002630009,1.6783290011044778,-0.09188452247580936,0.3841753114791484
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.46,False,59,0.5254237288135594,52.54237288135594,69.49152542372882,0.003875172537345687,0.006527077163232976,1.553722627556311,-0.0756003968459209,0.23293908080890224
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.48,False,51,0.5098039215686274,50.98039215686274,66.66666666666666,0.003924696411264126,0.008586176433134418,1.524729904028513,-0.10336518222388957,0.2006490958080791
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2023,0.5,False,44,0.5227272727272727,52.27272727272727,61.36363636363637,0.0034474520272551375,0.009911351946400027,1.4093839455839934,-0.10336518222388968,0.1458740470887272
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.4,False,164,0.40853658536585363,40.853658536585364,55.487804878048784,0.002351026834921108,0.0019721858649172095,1.2898446686979819,-0.14840178924488479,0.4027299687641277
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.42,False,143,0.46853146853146854,46.85314685314685,59.44055944055944,0.0037606564452271588,0.004149854010419563,1.490079940542828,-0.10778275207114818,0.6417186258349361
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.44,True,130,0.5076923076923077,50.76923076923077,60.76923076923077,0.0036868037744042085,0.0053591266025493365,1.4495757883453686,-0.13754458548648918,0.5491667029532725
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.46,False,105,0.4666666666666667,46.666666666666664,58.0952380952381,0.0022526169222969196,0.003927437358672737,1.2661441576444494,-0.16851275822674006,0.22676890472918787
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.48,False,91,0.5164835164835165,51.64835164835166,58.24175824175825,0.0025883470982129035,0.004986099919419674,1.2982861650848163,-0.1559071091758979,0.23066016954400026
v41_nasdaq,v41,retorno_nasdaq100_20s,validacion_2024,0.5,False,82,0.5365853658536586,53.65853658536586,57.3170731707317,0.0037581838404843666,0.006792130001780806,1.459374561497591,-0.16112810008058243,0.32341197026987234
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.4,False,128,0.4296875,42.96875,59.375,0.004159487344700398,0.004077394005527203,1.7728827239082283,-0.10279521554905258,0.6523920709460775
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.42,False,102,0.45098039215686275,45.09803921568628,61.76470588235294,0.004157058483256568,0.004292559424807219,1.7028036881336452,-0.10207946065164675,0.4872539796132449
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.44,True,76,0.47368421052631576,47.368421052631575,67.10526315789474,0.0060182517030054235,0.006136422102097972,2.067768189675975,-0.08665963799208398,0.5429050334466372
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.46,False,61,0.5245901639344263,52.459016393442624,65.57377049180327,0.005056333657367174,0.006028209058902668,1.7909511231374606,-0.093061184461802,0.33474209978581837
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.48,False,50,0.48,48.0,62.0,0.0029187758298144907,0.005083755129159929,1.3720438768921317,-0.12675369474500153,0.13894849838782974
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2023,0.5,False,41,0.4634146341463415,46.34146341463415,60.97560975609756,0.0013991554680394408,0.004156322255689849,1.1607437753066807,-0.14872343477572525,0.04503600013071907
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.4,False,153,0.43137254901960786,43.13725490196079,58.82352941176471,0.003149444432241695,0.0030844012517728956,1.3995751768892848,-0.13884008097780254,0.5433525546604501
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.42,False,135,0.4666666666666667,46.666666666666664,59.25925925925925,0.0035481382963605894,0.0038707816124331504,1.4762852721868263,-0.1645713177568613,0.5550963443393571
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.44,True,116,0.5,50.0,60.3448275862069,0.004083354603700438,0.004480120401746502,1.526315689386557,-0.12632292548099122,0.5506125372269786
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.46,False,94,0.5319148936170213,53.191489361702125,57.446808510638306,0.0032851294084328395,0.004443733061457845,1.401762751680382,-0.1747900361847542,0.32274408562274504
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.48,False,88,0.5454545454545454,54.54545454545454,57.95454545454546,0.0036637977535658476,0.0063040714880454604,1.449346849103,-0.1592202403741324,0.34226367423722426
v41_reservas_fed,v41,impulso_reservas_fed_4s,validacion_2024,0.5,False,81,0.5185185185185185,51.85185185185185,58.0246913580247,0.004624642814158819,0.007643789605400354,1.5961839570268614,-0.15065130015198935,0.414129563425762
v45_control_macro,v45,,validacion_2023,0.4,False,96,0.4583333333333333,45.83333333333333,68.75,0.006440301734428018,0.005632918978355606,2.27862893270818,-0.0676497984797152,0.8062286277604669
v45_control_macro,v45,,validacion_2023,0.42,True,79,0.4936708860759494,49.36708860759494,65.82278481012658,0.0053394138521687525,0.005901934577804747,1.958193572503436,-0.08746295524234893,0.49192291669135213
v45_control_macro,v45,,validacion_2023,0.44,False,61,0.5245901639344263,52.459016393442624,65.57377049180327,0.005963953837032199,0.009180467157180794,1.9215186328951928,-0.09982063655928652,0.40936902601610026
v45_control_macro,v45,,validacion_2023,0.46,False,49,0.5306122448979592,53.06122448979592,63.26530612244898,0.00478103573535271,0.008625335442674964,1.6042842370072532,-0.08890020759610473,0.24097837001696676
v45_control_macro,v45,,validacion_2023,0.48,False,42,0.5238095238095238,52.38095238095239,61.904761904761905,0.003410020610124314,0.0099309314511703,1.3877561288056928,-0.10854435584074551,0.13620965971488608
v45_control_macro,v45,,validacion_2023,0.5,False,41,0.5121951219512195,51.21951219512195,60.97560975609756,0.0034514730992066377,0.011236527459665635,1.389097267202466,-0.10336518222388935,0.13443913942670394
v45_control_macro,v45,,validacion_2024,0.4,False,146,0.4315068493150685,43.15068493150685,54.109589041095894,0.003703555499494257,0.002639225169160598,1.511140064516182,-0.09712451615351447,0.6497831299922439
v45_control_macro,v45,,validacion_2024,0.42,True,130,0.46153846153846156,46.15384615384615,59.23076923076923,0.004127534491463495,0.0036694840222176736,1.570160359699161,-0.11861221879850714,0.6481286473657459
v45_control_macro,v45,,validacion_2024,0.44,False,115,0.4608695652173913,46.08695652173913,58.26086956521739,0.0033903210933885304,0.0033949161272605064,1.4595688987482196,-0.16111595430210357,0.4304074084671716
v45_control_macro,v45,,validacion_2024,0.46,False,95,0.47368421052631576,47.368421052631575,61.05263157894737,0.0037658578988084696,0.004251556016597547,1.5006909059477997,-0.13740983587555589,0.38866773466009885
v45_control_macro,v45,,validacion_2024,0.48,False,83,0.5060240963855421,50.602409638554214,55.42168674698795,0.0034311423817016424,0.004773280445256823,1.4487791917740138,-0.15872074036661776,0.29708027675073057
v45_control_macro,v45,,validacion_2024,0.5,False,76,0.5,50.0,60.526315789473685,0.004017194344460488,0.007761583681701989,1.5030407399437602,-0.17470417269320326,0.32237274155781326
