version,pliegue,rejilla_minutos,variante,semilla,margen_ev,columnas,coste,usa_2025_seleccion,usa_2026_seleccion,promocion_automatica,accuracy_multiclase,precision_tp,porcentaje_acierto_tp,recall_tp,f1_tp,pr_auc_tp,prevalencia_tp,matriz_confusion,roc_auc_tp,pr_auc_lift_tp,operaciones,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,drawdown,retorno_compuesto,concentracion_mensual,duracion_media
baja_v2_eventos_macro,validacion_2024,10,macro_dolar,42,0.00025,64,0.001,False,False,False,0.6008841833636915,0.2701582516955539,27.01582516955539,0.05126921701823382,0.08618306388605085,0.3008693715437287,0.2653498785670917,"[[29173, 1593, 1144], [13069, 717, 199], [4686, 344, 1779]]",0.5681885515562968,1.1338590888695514,1348,35.01483679525222,-0.0008598054905700834,-0.005999999888241291,0.770591571359291,-0.7049630438097085,-0.6961141773641056,0.11353816714467901,148.56824925816025
baja_v2_eventos_macro,validacion_2024,10,macro_dolar,42,0.0005,64,0.001,False,False,False,0.6008841833636915,0.2701582516955539,27.01582516955539,0.05126921701823382,0.08618306388605085,0.3008693715437287,0.2653498785670917,"[[29173, 1593, 1144], [13069, 717, 199], [4686, 344, 1779]]",0.5681885515562968,1.1338590888695514,1060,35.75471698113207,-0.0008150582071848223,-0.005999999888241291,0.7801966421063974,-0.59015429772874,-0.5889468923346908,0.11707894325951448,155.94056603773586
baja_v2_eventos_macro,validacion_2024,10,macro_dolar,42,0.001,64,0.001,False,False,False,0.6008841833636915,0.2701582516955539,27.01582516955539,0.05126921701823382,0.08618306388605085,0.3008693715437287,0.2653498785670917,"[[29173, 1593, 1144], [13069, 717, 199], [4686, 344, 1779]]",0.5681885515562968,1.1338590888695514,625,35.36,-0.0009555486238095913,-0.005999999888241291,0.7438013331843626,-0.4631559566532153,-0.4575599679704321,0.13803978982879833,169.4464
baja_v2_eventos_macro,validacion_2023,10,macro_rendimiento_real,42,0.0,64,0.001,False,False,False,0.472314825458865,0.21822410726501573,21.822410726501573,0.14598206113856854,0.17493830545653963,0.22513659045046802,0.20933440625359237,"[[22995, 3748, 0], [9331, 1595, 0], [12497, 1966, 62]]",0.5509993112175272,1.0754877541617909,1668,33.45323741007194,-0.0012705412941882946,-0.005999999888241291,0.6572332555099151,-0.8851345679262169,-0.8840653978113268,0.15673554627984632,172.17206235011992
baja_v2_eventos_macro,validacion_2023,10,macro_rendimiento_real,42,0.00025,64,0.001,False,False,False,0.472314825458865,0.21822410726501573,21.822410726501573,0.14598206113856854,0.17493830545653963,0.22513659045046802,0.20933440625359237,"[[22995, 3748, 0], [9331, 1595, 0], [12497, 1966, 62]]",0.5509993112175272,1.0754877541617909,1470,33.80952380952381,-0.001227553245850086,-0.005999999888241291,0.6672359318972071,-0.8449075297376151,-0.8405205412005163,0.1601127571762981,178.5768707482993
baja_v2_eventos_macro,validacion_2023,10,macro_rendimiento_real,42,0.0005,64,0.001,False,False,False,0.472314825458865,0.21822410726501573,21.822410726501573,0.14598206113856854,0.17493830545653963,0.22513659045046802,0.20933440625359237,"[[22995, 3748, 0], [9331, 1595, 0], [12497, 1966, 62]]",0.5509993112175272,1.0754877541617909,1294,35.16228748068006,-0.0010990177237527883,-0.005999999888241291,0.6949280255896566,-0.7727871178067851,-0.7653178797728916,0.1579057807893008,187.12982998454405
baja_v2_eventos_macro,validacion_2023,10,macro_rendimiento_real,42,0.001,64,0.001,False,False,False,0.472314825458865,0.21822410726501573,21.822410726501573,0.14598206113856854,0.17493830545653963,0.22513659045046802,0.20933440625359237,"[[22995, 3748, 0], [9331, 1595, 0], [12497, 1966, 62]]",0.5509993112175272,1.0754877541617909,1009,35.282457879088206,-0.0010546070076643765,-0.005999999888241291,0.701013301266645,-0.6719304522512837,-0.6621076515882565,0.1399919048118008,201.26759167492568
baja_v2_eventos_macro,validacion_2024,10,macro_rendimiento_real,42,0.0,64,0.001,False,False,False,0.5655358227079539,0.27893654524089306,27.893654524089307,0.1357883446549875,0.18265762516231424,0.27687542655201025,0.2653498785670917,"[[27882, 4026, 2], [12086, 1899, 0], [5901, 883, 25]]",0.5141458239076759,1.0434352864495637,1490,34.22818791946309,-0.0010455155123086273,-0.005999999888241291,0.7226608730575259,-0.8024947347128142,-0.7965131842889517,0.125692165206613,165.1
baja_v2_eventos_macro,validacion_2024,10,macro_rendimiento_real,42,0.00025,64,0.001,False,False,False,0.5655358227079539,0.27893654524089306,27.893654524089307,0.1357883446549875,0.18265762516231424,0.27687542655201025,0.2653498785670917,"[[27882, 4026, 2], [12086, 1899, 0], [5901, 883, 25]]",0.5141458239076759,1.0434352864495637,1341,34.37733035048471,-0.0010110363973849805,-0.005999999888241291,0.7304539624206261,-0.7522720974386534,-0.7501098930014933,0.12552370863317486,170.1551081282625
baja_v2_eventos_macro,validacion_2024,10,macro_rendimiento_real,42,0.0005,64,0.001,False,False,False,0.5655358227079539,0.27893654524089306,27.893654524089307,0.1357883446549875,0.18265762516231424,0.27687542655201025,0.2653498785670917,"[[27882, 4026, 2], [12086, 1899, 0], [5901, 883, 25]]",0.5141458239076759,1.0434352864495637,1208,33.69205298013245,-0.0010889372811275736,-0.005999999888241291,0.7110033518799654,-0.741236654845356,-0.7389429605142226,0.1261762419747458,173.21192052980132
