pliegue,modo_evaluacion,estrategia_id,es_control_v4_1,umbral_baja,minutos_minimos,condicion_salida,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,porcentaje_salidas_anticipadas,perdida_media,peor_operacion,porcentaje_meses_positivos,concentracion_ganancias_mejores_5
validacion_2023,reinversion,baja_047_min0_solo_beneficio_neto,False,0.47,0,solo_beneficio_neto,96,0.5,50.0,75.0,0.0033080553343960302,0.0023080553343960294,0.0030903593858546694,1.5648517601741254,-0.11169968795586838,0.2340932283166861,251.96875,57.291666666666664,-0.016344503086505605,-0.0579821334188082,72.72727272727273,0.22255433079078332
validacion_2023,reinversion,baja_047_min30_siempre,False,0.47,30,siempre,101,0.5148514851485149,51.48514851485149,63.366336633663366,0.004000476575814795,0.0030004765758147945,0.0029614586956422393,1.7048057665659275,-0.07510078308287949,0.33708383294473787,243.84158415841586,63.366336633663366,-0.011620918132191765,-0.05472006416596076,81.81818181818183,0.2309031645486221
validacion_2023,reinversion,baja_047_min30_solo_beneficio_neto,False,0.47,30,solo_beneficio_neto,84,0.5357142857142857,53.57142857142857,72.61904761904762,0.004477962908816242,0.0034779629088162417,0.0050786298640240765,1.7532235387768793,-0.11396072677122993,0.32217110344087696,314.3809523809524,47.61904761904761,-0.01686368621291073,-0.0579821334188082,72.72727272727273,0.2416260698327821
validacion_2023,reinversion,baja_047_min60_siempre,False,0.47,60,siempre,90,0.5222222222222223,52.22222222222223,62.22222222222222,0.004347087581234068,0.0033470875812340673,0.002822106162851724,1.7168911897845367,-0.07220257037118616,0.33298045821850275,290.0,56.666666666666664,-0.012358831913800236,-0.05309935740660143,81.81818181818183,0.2903429273496
validacion_2023,reinversion,baja_047_min60_solo_beneficio_neto,False,0.47,60,solo_beneficio_neto,80,0.525,52.5,71.25,0.005187199450579706,0.0041871994505797054,0.0048336501663061035,1.9393331895517685,-0.0948018913386588,0.37994863722183725,348.125,42.5,-0.015504798684869325,-0.05309935740660143,81.81818181818183,0.30249290140393825
validacion_2024,cohorte_v4_1,control_v4_1_fija_480m,True,,0,siempre,127,0.48031496062992124,48.031496062992126,61.417322834645674,0.004496752860065117,0.003496752860065116,0.005907866412025232,1.433836715067117,-0.12580432747781312,0.4989295240498677,480.0,0.0,-0.02089037695544174,-0.06163989746302656,66.66666666666666,0.2161625291627123
validacion_2024,cohorte_v4_1,baja_032_min0_siempre,False,0.32,0,siempre,127,0.48031496062992124,48.031496062992126,57.48031496062992,0.0032736672212163344,0.0022736672212163335,0.0016504819296031545,1.365866369763019,-0.16125749522396204,0.3011569438847179,292.73228346456693,77.16535433070865,-0.01461552333486156,-0.06163989746302656,58.333333333333336,0.21817785655112357
validacion_2024,cohorte_v4_1,baja_032_min0_solo_beneficio_neto,False,0.32,0,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,68.50393700787401,0.004313104181719402,0.003313104181719401,0.005025492641295482,1.5221471464769227,-0.12181516859476937,0.4807848574564173,374.92913385826773,46.45669291338583,-0.020145864720193425,-0.06163989746302656,66.66666666666666,0.20874034244915776
validacion_2024,cohorte_v4_1,baja_032_min30_siempre,False,0.32,30,siempre,127,0.48031496062992124,48.031496062992126,59.84251968503938,0.003256208130799356,0.0022562081307993553,0.003374832322963762,1.3402169379258084,-0.16644900825637676,0.2967329291848466,301.92913385826773,76.37795275590551,-0.016514170851384104,-0.06163989746302656,58.333333333333336,0.2083650916811105
validacion_2024,cohorte_v4_1,baja_032_min30_solo_beneficio_neto,False,0.32,30,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,68.50393700787401,0.004400849121094565,0.0034008491210945637,0.005025492641295482,1.535975799969115,-0.12181516859476915,0.4972785223972671,376.65354330708664,46.45669291338583,-0.020145864720193425,-0.06163989746302656,75.0,0.20686101735456383
